MONTH,DAY,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,OLATITUDE,OLONGITUDE,DESTINATION_AIRPORT,DLATITUDE,DLONGITUDE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,Departure,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1,1,B6,1129,JFK,40.63975,-73.77893,RSW,26.53617,-81.75517,1205,1231,12.51666667,1518,16,0,0,0,7,9,0
1,1,B6,1639,LGA,40.77724,-73.77893,RSW,26.53617,-81.75517,959,956,9.933333333,1327,17,0,17,0,0,0,0
1,1,B6,89,JFK,40.63975,-73.77893,SAN,32.73356,-117.18966,1647,1729,17.48333333,2005,33,0,0,0,22,11,0
1,1,AA,95,JFK,40.63975,-73.77893,SAN,32.73356,-117.18966,1720,1749,17.81666667,2040,35,0,6,0,29,0,0
1,1,EV,5387,LGA,40.63975,-73.77893,SAV,32.12758,-81.20214,950,1209,12.15,1224,100,0,0,0,0,100,0
1,1,MQ,3608,LGA,40.77724,-73.77893,SDF,38.17439,-85.736,1400,1353,13.88333333,1608,33,0,33,0,0,0,0
1,1,DL,443,JFK,40.63975,-73.77893,SEA,47.44898,-122.30931,1855,1902,19.03333333,2217,34,0,27,0,7,0,0
1,1,AA,235,JFK,40.63975,-73.77893,SEA,47.44898,-122.30931,1835,1908,19.13333333,2205,47,0,14,0,33,0,0
1,1,VX,29,JFK,40.63975,-73.77893,SFO,37.619,-122.37484,1855,1943,19.71666667,2235,42,0,0,0,7,35,0
1,1,AA,15,JFK,40.63975,-73.77893,SFO,37.619,-122.37484,800,755,7.916666667,1140,48,0,48,0,0,0,0
1,1,DL,498,JFK,40.63975,-73.77893,SLC,40.78839,-111.97777,929,949,9.816666667,1300,18,0,0,0,18,0,0
1,1,B6,71,JFK,40.63975,-73.77893,SLC,40.78839,-111.97777,1839,1921,19.35,2157,37,0,0,0,32,5,0
1,1,B6,431,LGA,40.77724,-73.77893,SRQ,27.39533,-82.55411,1330,1406,14.1,1641,19,0,0,0,16,3,0
1,1,B6,1816,JFK,40.63975,-73.77893,SYR,43.11119,-76.10631,2245,2317,23.28333333,2353,24,0,0,0,7,17,0
1,1,B6,925,JFK,40.63975,-73.77893,TPA,27.97547,-82.53325,1000,1037,10.61666667,1304,44,0,7,0,0,37,0
1,1,B6,1117,LGA,40.63975,-73.77893,TPA,27.97547,-82.53325,1545,1703,17.05,1902,56,0,0,0,56,0,0
1,2,B6,65,JFK,40.63975,-73.77893,ABQ,35.04022,-106.60919,2000,2000,20,2308,16,0,16,0,0,0,0
1,2,WN,295,LGA,40.63975,-73.77893,ATL,33.64044,-84.42694,2030,2103,21.05,2315,17,0,0,0,15,2,0
1,2,WN,1768,LGA,40.63975,-73.77893,ATL,33.64044,-84.42694,1855,1919,19.31666667,2140,27,0,3,0,14,10,0
1,2,DL,2447,LGA,40.63975,-73.77893,ATL,33.64044,-84.42694,1600,1638,16.63333333,1851,30,0,0,0,10,20,0
1,2,DL,2510,JFK,40.63975,-73.77893,ATL,33.64044,-84.42694,1815,1849,18.81666667,2102,37,0,3,0,34,0,0
1,2,DL,2147,LGA,40.63975,-73.77893,ATL,33.64044,-84.42694,1300,1302,13.03333333,1544,45,0,45,0,0,0,0
1,2,B6,1295,JFK,40.63975,-73.77893,AUS,30.19453,-97.66987,2059,2126,21.43333333,21,44,0,17,0,14,13,0
1,2,WN,3848,LGA,40.63975,-73.77893,BNA,36.12448,-86.67818,940,940,9.666666667,1120,19,0,19,0,0,0,0
1,2,MQ,3086,LGA,40.63975,-73.77893,BNA,36.12448,-86.67818,750,829,8.483333333,913,56,0,17,0,39,0,0
1,2,AA,2314,JFK,40.63975,-73.77893,BOS,42.36435,-71.00518,2020,2131,21.51666667,2130,74,0,3,0,8,63,0
1,2,AA,1096,JFK,40.63975,-73.77893,BOS,42.36435,-71.00518,1545,1721,17.35,1700,88,0,0,0,19,69,0
1,2,B6,702,JFK,40.63975,-73.77893,BUF,42.94052,-78.73217,2139,2232,22.53333333,2305,51,0,9,0,0,42,0
1,2,B6,359,JFK,40.63975,-73.77893,BUR,34.20062,-118.3585,1730,1729,17.48333333,2054,22,0,22,0,0,0,0
1,2,WN,2453,LGA,40.63975,-73.77893,CAK,40.91631,-81.44247,1930,2029,20.48333333,2115,65,0,6,0,0,59,0
1,2,EV,5377,LGA,40.63975,-73.77893,CLE,41.41089,-81.8494,925,959,9.983333333,1122,15,0,0,0,15,0,0
1,2,EV,4559,LGA,40.63975,-73.77893,CLE,41.41089,-81.8494,830,828,8.466666667,1024,22,0,22,0,0,0,0
1,2,US,749,JFK,40.63975,-73.77893,CLT,35.21401,-80.94313,1200,1228,12.46666667,1359,17,0,0,0,17,0,0
1,2,US,425,JFK,40.63975,-73.77893,CLT,35.21401,-80.94313,1830,1947,19.78333333,2034,77,0,0,0,77,0,0
1,2,MQ,2793,JFK,40.63975,-73.77893,CMH,39.99799,-82.89188,1530,1602,16.03333333,1728,42,0,19,0,0,23,0
1,2,WN,3227,LGA,40.63975,-73.77893,DAL,32.84711,-96.85177,1255,1333,13.55,1600,21,0,0,0,20,1,0
1,2,MQ,3365,JFK,40.63975,-73.77893,DCA,38.85208,-77.03772,1725,1722,17.36666667,1838,19,0,19,0,0,0,0
