Day,DESTINATION_AIRPORT,cancellCount,delaySum,SumCount,delayCount,avgDelay,LATITUDE,LONGITUDE,Rain,Fog,Snow
4,XNA,1,,1,0,0,36.28187,-94.30681,1,,
5,AUS,0,34,2,2,17,30.19453,-97.66987,,,
5,BNA,1,586,10,9,58.6,36.12448,-86.67818,,,
5,BOS,1,114,5,4,22.8,42.36435,-71.00518,,,
5,BUF,0,153,3,3,51,42.94052,-78.73217,,,
5,CHO,0,139,2,2,69.5,38.13864,-78.45286,,,
5,CVG,1,65,2,1,32.5,39.04614,-84.66217,,,
5,DEN,0,305,4,4,76.25,39.85841,-104.667,,,
5,DFW,0,254,8,8,31.75,32.89595,-97.0372,,,
5,DTW,0,257,4,4,64.25,42.21206,-83.34884,,,
5,FLL,0,1027,14,14,73.35714286,26.07258,-80.15275,,,
5,IAD,1,100,4,3,25,38.94453,-77.45581,,,
5,IAH,0,108,4,4,27,29.98047,-95.33972,,,
5,LAS,0,268,5,5,53.6,36.08036,-115.15233,,,
5,LAX,0,356,12,12,29.66666667,33.94254,-118.40807,,,
5,MCO,0,546,14,14,39,28.42889,-81.31603,,,
5,MDW,0,597,6,6,99.5,41.78598,-87.75242,,,
5,MIA,0,551,11,11,50.09090909,25.79325,-80.29056,,,
5,MKE,2,142,3,1,47.33333333,42.94722,-87.89658,,,
5,MSP,0,115,3,3,38.33333333,44.88055,-93.21692,,,
5,ORD,3,1908,22,19,86.72727273,41.9796,-87.90446,,,
5,ATL,0,589,11,11,53.54545455,33.64044,-84.42694,,,
5,PBI,0,389,7,7,55.57142857,26.68316,-80.09559,,,
5,PDX,0,24,2,2,12,45.58872,-122.5975,,,
5,PHX,0,203,5,5,40.6,33.43417,-112.00806,,,
5,RSW,0,219,4,4,54.75,26.53617,-81.75517,,,
5,SAV,0,32,2,2,16,32.12758,-81.20214,,,
5,SDF,0,213,3,3,71,38.17439,-85.736,,,
5,SEA,0,224,5,5,44.8,47.44898,-122.30931,,,
5,SFO,0,60,3,3,20,37.619,-122.37484,,,
5,SLC,0,85,3,3,28.33333333,40.78839,-111.97777,,,
5,SRQ,0,122,2,2,61,27.39533,-82.55411,,,
5,BHM,1,128,2,1,64,33.56294,-86.75355,,,
5,SYR,0,78,2,2,39,43.11119,-76.10631,,,
5,TPA,0,283,5,5,56.6,27.97547,-82.53325,,,
5,CAK,0,110,2,2,55,40.91631,-81.44247,,,
5,CLE,1,459,7,6,65.57142857,41.41089,-81.8494,,,
5,CLT,0,515,11,11,46.81818182,35.21401,-80.94313,,,
5,CMH,1,365,6,5,60.83333333,39.99799,-82.89188,,,
5,DAL,0,375,6,6,62.5,32.84711,-96.85177,,,
5,DCA,0,650,12,12,54.16666667,38.85208,-77.03772,,,
5,BTV,0,26,1,1,26,44.473,-73.15031,,,
5,GSO,3,113,5,2,22.6,36.09775,-79.9373,,,
5,BWI,0,147,1,1,147,39.1754,-76.6682,,,
5,HNL,0,843,1,1,843,21.31869,-157.92241,,,
5,CAE,0,430,1,1,430,33.93884,-81.11954,,,
5,IND,0,49,1,1,49,39.71733,-86.29438,,,
5,LIT,0,65,1,1,65,34.7294,-92.22425,,,
5,MSY,0,115,2,2,57.5,29.99339,-90.25803,,,
5,OAK,0,,1,1,0,37.72129,-122.22072,,,
5,ORF,0,118,1,1,118,36.89461,-76.20122,,,
5,RDU,2,390,9,7,43.33333333,35.87764,-78.78747,,,
5,DAY,0,209,2,2,104.5,39.90238,-84.21938,,,
5,EGE,0,29,1,1,29,39.64257,-106.9177,,,
5,HOU,0,271,4,4,67.75,29.64542,-95.27889,,,
5,JAX,0,128,2,2,64,30.49406,-81.68786,,,
5,ROC,0,110,3,3,36.66666667,43.11887,-77.67238,,,
5,SJC,0,19,1,1,19,37.36186,-121.92901,,,
5,STL,0,521,5,5,104.2,38.74769,-90.35999,,,
5,MCI,1,282,3,2,94,39.29761,-94.71391,,,
5,MHT,1,31,2,1,15.5,42.93452,-71.43706,,,
5,MYR,0,149,2,2,74.5,33.67975,-78.92833,,,
5,OMA,0,65,1,1,65,41.30252,-95.89417,,,
5,PHL,0,27,1,1,27,39.87195,-75.24114,,,
5,PWM,0,32,1,1,32,43.64617,-70.30875,,,
5,RIC,1,67,2,1,33.5,37.50517,-77.31967,,,
5,TYS,0,29,1,1,29,35.81249,-83.99286,,,
5,XNA,0,21,1,1,21,36.28187,-94.30681,,,
5,PIT,1,,1,0,0,40.49147,-80.23287,,,
6,AUS,0,208,3,3,69.33333333,30.19453,-97.66987,,,1
6,BNA,0,936,9,9,104,36.12448,-86.67818,,,1
6,BOS,2,3146,33,31,95.33333333,42.36435,-71.00518,,,1
6,BUF,0,122,4,4,30.5,42.94052,-78.73217,,,1
6,CHO,0,192,2,2,96,38.13864,-78.45286,,,1
6,CHS,0,131,2,2,65.5,32.89865,-80.04051,,,1
6,CVG,0,112,2,2,56,39.04614,-84.66217,,,1
6,DEN,0,606,5,5,121.2,39.85841,-104.667,,,1
6,DFW,1,1002,11,10,91.09090909,32.89595,-97.0372,,,1
6,DTW,1,1531,17,16,90.05882353,42.21206,-83.34884,,,1
6,FLL,1,1451,22,21,65.95454545,26.07258,-80.15275,,,1
6,IAD,1,501,4,3,125.25,38.94453,-77.45581,,,1
6,IAH,0,55,3,3,18.33333333,29.98047,-95.33972,,,1
6,LAS,0,479,8,8,59.875,36.08036,-115.15233,,,1
6,LAX,0,1082,24,24,45.08333333,33.94254,-118.40807,,,1
6,MCO,0,844,15,15,56.26666667,28.42889,-81.31603,,,1
6,MDW,0,533,7,7,76.14285714,41.78598,-87.75242,,,1
6,MIA,0,1660,21,21,79.04761905,25.79325,-80.29056,,,1
6,MKE,0,245,3,3,81.66666667,42.94722,-87.89658,,,1
6,MSP,0,331,5,5,66.2,44.88055,-93.21692,,,1
6,ATL,0,1621,17,17,95.35294118,33.64044,-84.42694,,,1
6,BHM,1,185,2,1,92.5,33.56294,-86.75355,,,1
6,CAK,0,142,2,2,71,40.91631,-81.44247,,,1
6,CLE,2,723,8,6,90.375,41.41089,-81.8494,,,1
6,CLT,0,1222,12,12,101.8333333,35.21401,-80.94313,,,1
6,CMH,1,534,8,7,66.75,39.99799,-82.89188,,,1
6,DAL,0,405,6,6,67.5,32.84711,-96.85177,,,1
6,DCA,9,1391,20,11,69.55,38.85208,-77.03772,,,1
6,BTV,0,156,3,3,52,44.473,-73.15031,,,1
6,GSO,3,35,4,1,8.75,36.09775,-79.9373,,,1
6,BWI,0,68,1,1,68,39.1754,-76.6682,,,1
6,HNL,0,39,1,1,39,21.31869,-157.92241,,,1
6,CAE,0,236,1,1,236,33.93884,-81.11954,,,1
6,IND,0,93,1,1,93,39.71733,-86.29438,,,1
6,LIT,0,138,1,1,138,34.7294,-92.22425,,,1
6,MSY,0,28,1,1,28,29.99339,-90.25803,,,1
6,DAY,1,108,2,1,54,39.90238,-84.21938,,,1
6,EGE,0,65,1,1,65,39.64257,-106.9177,,,1
6,HOU,0,371,3,3,123.6666667,29.64542,-95.27889,,,1
6,JAX,0,25,1,1,25,30.49406,-81.68786,,,1
6,MHT,0,242,2,2,121,42.93452,-71.43706,,,1
6,MYR,1,100,2,1,50,33.67975,-78.92833,,,1
6,OMA,0,35,1,1,35,41.30252,-95.89417,,,1
6,ORD,3,1194,25,22,47.76,41.9796,-87.90446,,,1
6,ORF,1,176,3,2,58.66666667,36.89461,-76.20122,,,1
6,PBI,0,812,11,11,73.81818182,26.68316,-80.09559,,,1
6,PDX,0,,1,1,0,45.58872,-122.5975,,,1
6,PHX,0,95,2,2,47.5,33.43417,-112.00806,,,1
6,PIT,0,66,2,2,33,40.49147,-80.23287,,,1
6,PWM,0,66,2,2,33,43.64617,-70.30875,,,1
6,RDU,3,401,9,6,44.55555556,35.87764,-78.78747,,,1
6,RIC,1,85,3,2,28.33333333,37.50517,-77.31967,,,1
6,ROC,0,266,3,3,88.66666667,43.11887,-77.67238,,,1
6,RSW,0,134,3,3,44.66666667,26.53617,-81.75517,,,1
6,SAN,0,277,3,3,92.33333333,32.73356,-117.18966,,,1
6,SAV,0,45,1,1,45,32.12758,-81.20214,,,1
6,SDF,1,98,2,1,49,38.17439,-85.736,,,1
6,SEA,0,369,5,5,73.8,47.44898,-122.30931,,,1
6,SFO,0,1309,19,19,68.89473684,37.619,-122.37484,,,1
6,SLC,0,253,4,4,63.25,40.78839,-111.97777,,,1
6,SRQ,0,70,1,1,70,27.39533,-82.55411,,,1
6,STL,1,409,6,5,68.16666667,38.74769,-90.35999,,,1
6,SYR,0,58,2,2,29,43.11119,-76.10631,,,1
6,TPA,0,798,9,9,88.66666667,27.97547,-82.53325,,,1
6,TYS,0,45,1,1,45,35.81249,-83.99286,,,1
6,XNA,0,117,1,1,117,36.28187,-94.30681,,,1
7,ATL,1,1228,17,16,72.23529412,33.64044,-84.42694,,,
7,AUS,0,264,2,2,132,30.19453,-97.66987,,,
7,BHM,0,242,2,2,121,33.56294,-86.75355,,,
7,BNA,1,322,9,8,35.77777778,36.12448,-86.67818,,,
7,BOS,6,1149,31,25,37.06451613,42.36435,-71.00518,,,
7,BTV,0,43,1,1,43,44.473,-73.15031,,,
7,BUF,0,188,2,2,94,42.94052,-78.73217,,,
7,BWI,0,38,1,1,38,39.1754,-76.6682,,,
7,CAE,1,113,2,1,56.5,33.93884,-81.11954,,,
7,CAK,0,33,1,1,33,40.91631,-81.44247,,,
7,CHO,1,120,2,1,60,38.13864,-78.45286,,,
7,CHS,0,91,2,2,45.5,32.89865,-80.04051,,,
7,CLE,4,216,8,4,27,41.41089,-81.8494,,,
7,CLT,0,669,12,12,55.75,35.21401,-80.94313,,,
7,CMH,2,635,8,6,79.375,39.99799,-82.89188,,,
7,CVG,0,37,1,1,37,39.04614,-84.66217,,,
7,DAL,0,480,5,5,96,32.84711,-96.85177,,,
7,DAY,0,215,2,2,107.5,39.90238,-84.21938,,,
7,DCA,5,1053,18,13,58.5,38.85208,-77.03772,,,
7,DEN,0,131,2,2,65.5,39.85841,-104.667,,,
7,DFW,0,865,11,11,78.63636364,32.89595,-97.0372,,,
7,DTW,2,616,10,8,61.6,42.21206,-83.34884,,,
7,FLL,1,1363,16,15,85.1875,26.07258,-80.15275,,,
7,GSO,3,147,4,1,36.75,36.09775,-79.9373,,,
7,HOU,0,93,3,3,31,29.64542,-95.27889,,,
7,IAD,3,179,6,3,29.83333333,38.94453,-77.45581,,,
7,IAH,0,578,6,6,96.33333333,29.98047,-95.33972,,,
7,IND,0,20,1,1,20,39.71733,-86.29438,,,
7,LAS,0,17,1,1,17,36.08036,-115.15233,,,
7,LAX,0,360,7,7,51.42857143,33.94254,-118.40807,,,
7,LIT,0,108,1,1,108,34.7294,-92.22425,,,
7,MCI,1,25,2,1,12.5,39.29761,-94.71391,,,
7,MCO,1,722,13,12,55.53846154,28.42889,-81.31603,,,
7,MDW,1,148,5,4,29.6,41.78598,-87.75242,,,
7,MHT,1,91,2,1,45.5,42.93452,-71.43706,,,
7,MIA,0,1125,17,17,66.17647059,25.79325,-80.29056,,,
7,MKE,1,41,2,1,20.5,42.94722,-87.89658,,,
7,MSP,0,120,3,3,40,44.88055,-93.21692,,,
7,MSY,0,87,1,1,87,29.99339,-90.25803,,,
7,MYR,1,104,2,1,52,33.67975,-78.92833,,,
7,OMA,1,,1,0,0,41.30252,-95.89417,,,
7,ORD,3,1166,19,16,61.36842105,41.9796,-87.90446,,,
7,ORF,1,58,3,2,19.33333333,36.89461,-76.20122,,,
7,PBI,0,775,10,10,77.5,26.68316,-80.09559,,,
7,PDX,0,,1,1,0,45.58872,-122.5975,,,
7,PHX,0,74,2,2,37,33.43417,-112.00806,,,
7,PIT,1,72,2,1,36,40.49147,-80.23287,,,
7,PWM,0,21,1,1,21,43.64617,-70.30875,,,
7,RDU,1,661,11,10,60.09090909,35.87764,-78.78747,,,
7,RIC,2,,2,0,0,37.50517,-77.31967,,,
7,ROC,0,136,2,2,68,43.11887,-77.67238,,,
7,RSW,0,150,5,5,30,26.53617,-81.75517,,,
7,SAV,0,48,1,1,48,32.12758,-81.20214,,,
7,SDF,1,201,3,2,67,38.17439,-85.736,,,
7,SEA,0,69,4,4,17.25,47.44898,-122.30931,,,
7,SFO,0,283,3,3,94.33333333,37.619,-122.37484,,,
7,SLC,0,80,2,2,40,40.78839,-111.97777,,,
7,SRQ,0,85,1,1,85,27.39533,-82.55411,,,
7,STL,1,419,5,4,83.8,38.74769,-90.35999,,,
7,SYR,0,145,2,2,72.5,43.11119,-76.10631,,,
7,TPA,0,318,4,4,79.5,27.97547,-82.53325,,,
7,TYS,0,88,1,1,88,35.81249,-83.99286,,,
7,XNA,0,91,1,1,91,36.28187,-94.30681,,,
8,ABQ,0,147,1,1,147,35.04022,-106.60919,,,
8,ATL,0,231,6,6,38.5,33.64044,-84.42694,,,
8,AUS,0,35,1,1,35,30.19453,-97.66987,,,
8,BHM,0,100,1,1,100,33.56294,-86.75355,,,
8,BNA,1,74,3,2,24.66666667,36.12448,-86.67818,,,
8,BOS,1,57,3,2,19,42.36435,-71.00518,,,
8,BUF,0,31,1,1,31,42.94052,-78.73217,,,
8,BWI,1,,1,0,0,39.1754,-76.6682,,,
8,CHO,0,27,1,1,27,38.13864,-78.45286,,,
8,CHS,0,45,2,2,22.5,32.89865,-80.04051,,,
8,CLE,1,68,3,2,22.66666667,41.41089,-81.8494,,,
8,CLT,0,120,2,2,60,35.21401,-80.94313,,,
8,CMH,1,122,4,3,30.5,39.99799,-82.89188,,,
8,DAL,0,36,1,1,36,32.84711,-96.85177,,,
8,DAY,0,64,2,2,32,39.90238,-84.21938,,,
8,DCA,1,27,2,1,13.5,38.85208,-77.03772,,,
8,DEN,0,146,4,4,36.5,39.85841,-104.667,,,
8,DFW,2,,2,0,0,32.89595,-97.0372,,,
8,DTW,0,217,6,6,36.16666667,42.21206,-83.34884,,,
8,FLL,0,186,4,4,46.5,26.07258,-80.15275,,,
8,GSO,0,406,3,3,135.3333333,36.09775,-79.9373,,,
